A	B	C	D	E	F	G
22.4	64	0.8	2000	15.2	0	1674
22.5	65	1.1	2000	15.5	0	1276
21.2	81	1	1808	17.8	0	764
20.8	84	0.9	1078	17.9	0	348
20.5	85	1	2000	17.8	0	325
20.5	89	0.5	235	18.6	0	61
20.3	97	0.7	315	19.8	0	44
20.3	97	0.4	200	19.8	0	22
20.5	97	0.1	257	20	0	27
20.5	97	0.4	384	20	0	38
20.6	98	0.7	626	20.2	0	47
20.8	98	0.5	299	20.4	0.02	103
21.3	97	1.3	1029	20.7	0.17	328
21.5	97	0.9	1543	20.9	0.19	75
21.7	97	1	1249	21.1	0.29	104
22	96	1.6	602	21.3	0.36	148
22.6	90	1.4	1963	20.8	1.02	137
22.9	92	1.2	459	21.5	1.09	149
23.3	89	1.5	1435	21.3	1.23	231
24.4	87	1.5	1153	22	1.44	580
24.7	85	1.2	1143	22	0.99	886
24.9	82	0.9	2000	21.6	0.67	1356
24.8	83	0.8	1947	21.7	0.26	2153
24.7	83	0.4	2000	21.6	0.1	1615
24.4	85	0.7	2000	21.7	0.01	1560
23.9	88	0.8	2000	21.7	0	1762
23.5	88	0.6	2000	21.3	0	1571
23.6	87	0.6	2000	21.3	0	1113
23.5	88	0.6	2000	21.3	0	870
23.1	94	0.6	2000	22	0	653
23.2	88	0.6	2000	21	0	482
22.9	93	0.6	2000	21.7	0	281
22.6	95	0.4	1919	21.7	0	200
22.5	96	0.3	1605	21.8	0	218
22.5	90	0.6	1149	20.7	0	581
22.6	88	0.8	2000	20.5	0.06	1182
23.4	83	0.8	1998	20.3	0.32	1841
24.2	80	1.2	1708	20.5	0.57	865
25.4	75	0.7	1995	20.6	0.96	670
25.9	79	1.7	1900	21.9	0.9	411
25.2	89	1.4	340	23.2	0.32	25
24.6	97	0.5	765	24	0.1	31
24.9	97	0.5	766	24.3	0.36	126
25.2	96	0.6	1754	24.5	0.51	122
25	97	0.7	1181	24.4	0.17	60
24.8	96	1.8	564	24.1	0.14	39
24.3	97	0.8	105	23.7	0.01	96
23.9	98	0.8	1792	23.5	0	84
23.3	97	3.3	183	22.7	0	10
22.9	98	2.1	1146	22.5	0	122
22.9	97	1.3	2000	22.3	0	64
22.8	97	1	600	22.2	0	59
22.7	96	0.3	2000	22	0	208
22.8	97	0.5	2000	22.2	0	334
24.2	91	3.6	1735	22.6	0	243
24.5	87	4.3	1985	22.1	0	171
24.6	86	4	1968	22	0	128
24.6	87	3.6	1966	22.2	0	109
24.7	85	3.8	2000	22	0	346
25	85	3	2000	22.2	0.02	862
25.3	83	3.4	1982	22.1	0.14	1595
25.8	79	2.7	1963	21.8	0.3	867
26.4	78	2.7	2000	22.2	0.44	642
26.9	74	3.2	2000	21.8	0.45	671
27.4	72	4.2	1989	21.8	0.54	648
27.1	75	3.7	1972	22.2	0.28	540
26.8	77	3.5	1965	22.4	0.11	490
26.9	77	2.5	1937	22.5	0.26	583
27	76	3.8	1875	22.3	0.21	193
24.6	93	0.9	1451	23.3	0	160
23.9	96	0.2	991	23.2	0	57
23.5	97	0.3	323	22.9	0	24
23.4	98	0.6	70	23	0	19
23.7	98	0.6	410	23.3	0	22
24.3	97	2.1	1028	23.7	0	74
24.2	94	0.9	1808	23.1	0	198
24.7	94	2.8	1270	23.6	0	214
24.9	92	2.2	1125	23.5	0	99
24.7	96	1	337	24	0	80
24.1	97	2.5	1989	23.5	0	81
23.9	96	0.4	1797	23.2	0	42
24	97	0.9	1347	23.4	0	73
24.2	96	1.6	1206	23.5	0	285
24.3	96	1.4	1025	23.6	0.04	771
24.6	96	1	883	23.9	0.19	1330
25	92	1.1	782	23.6	0.39	846
26.1	81	1.5	860	22.5	1.05	589
26.2	82	2.6	834	22.8	0.59	716
27	74	2.5	915	21.9	0.94	768
28.2	66	2.2	1006	21.2	1.81	865
27.5	66	2.8	989	20.5	0.76	837
27.2	69	3.5	963	21	0.95	982
27.6	68	2.1	1038	21.1	1.46	1142
26.8	73	2.6	916	21.5	0.37	1473
26.1	72	2.4	1066	20.6	0.19	1887
25.1	74	2.1	1105	20.1	0	1707
24.9	70	1.2	1377	19	0	1685
24.8	72	1.4	1298	19.4	0	1732
24.6	71	1.5	1319	18.9	0	1582
24.3	71	0.8	1549	18.6	0	1173
23.9	75	1.7	1192	19.1	0	861
23.7	77	1.1	1099	19.4	0	652
23.4	79	0.4	1045	19.5	0	381
23.3	81	1.7	1068	19.8	0	297
23.2	83	1.6	1102	20.1	0	170
23.1	84	0.5	1022	20.2	0	217
22.9	83	0	1239	19.8	0	436
22.9	83	0.6	1127	19.8	0.01	828
23.1	80	0.2	1066	19.4	0.27	1686
24.1	69	0.9	1662	18	0.76	1049
25.5	53	2.3	1843	15.2	1.81	794
26.7	51	2.7	1925	15.7	2.65	868
27.8	47	2.9	1905	15.4	2.99	982
28.7	46	2.6	1815	15.9	3.1	965
29.3	41	1.9	1928	14.6	3	987
30.3	41	2.5	1864	15.5	2.72	1119
29.7	51	3	2000	18.4	2.27	1404
29.1	49	2.8	1969	17.2	1.57	1869
28.4	57	2.4	2000	19	0.84	2836
26.5	69	2.3	2000	20.3	0.18	2372
25.4	74	1.6	2000	20.4	0	1995
24.5	78	1.2	2000	20.4	0	1931
24.1	80	0.9	1852	20.4	0	1789
23.8	81	0.6	1893	20.3	0	1329
23.2	83	0.5	1887	20.1	0	1075
22.7	83	0.1	1940	19.6	0	975
22	86	0.4	1703	19.5	0	785
21.6	87	0.3	1579	19.3	0	514
21.2	88	0.9	1183	19.1	0	338
21.1	87	0.6	1116	18.8	0	260
20.9	87	0.7	1198	18.6	0	362
21.1	81	1	1738	17.7	0.14	511
22.3	64	1.7	2000	15.1	0.75	812
24.1	56	2.1	1956	14.7	1.46	925
26	54	1.5	2000	15.9	2.13	861
27.6	47	1.2	2000	15.2	2.63	981
28.9	46	1.6	1966	16.1	2.96	1086
29.4	48	1.9	1942	17.2	2.88	1303
29.7	42	1.4	2000	15.4	2.37	1371
30	45	0.9	2000	16.7	2.1	1480
30.5	41	1.4	1930	15.7	1.95	1678
29.6	42	1.3	2000	15.3	0.98	1845
28.8	46	1.3	2000	16	0.58	1892
27.8	48	1.1	2000	15.7	0.08	1891
26.9	49	2.1	2000	15.2	0	1440
26	52	1.4	2000	15.3	0	1110
25.1	53	2	2000	14.8	0	992
24.4	54	1.6	2000	14.4	0	1523
23.5	56	1.5	2000	14.2	0	1336
22.8	59	1.5	2000	14.3	0	930
22	60	1.2	2000	13.8	0	610
21.5	61	1.3	2000	13.6	0	440
21.1	62	1.8	2000	13.5	0	255
20.6	65	1.1	2000	13.7	0	179
20.2	66	1	2000	13.6	0	249
20.2	65	1.4	2000	13.4	0.16	388
21.3	57	1.3	2000	12.4	0.81	576
23.4	52	1.3	1997	12.9	1.53	721
25	47	1.5	2000	12.8	2.17	802
26.5	44	1.4	1958	13.2	2.62	940
27.5	43	1.4	1959	13.7	2.75	1075
28.5	42	1.7	1990	14.3	2.94	1254
29.1	43	1.4	2000	15.2	2.39	1395
29.3	43	1.5	1958	15.4	2.4	1550
29.3	44	1.4	1997	15.7	1.32	1853
28.8	47	2	1998	16.3	1	2069
27.9	52	1.7	2000	17.1	0.2	2118
27.3	54	1.5	2000	17.1	0.05	1986
26.9	56	1.6	2000	17.3	0	1838
26.2	62	2.3	2000	18.3	0	1759
25.7	64	1.1	2000	18.3	0	1511
25.1	65	2.2	2000	18	0	1047
24.7	67	1.2	2000	18.1	0	763
24.5	68	0.5	2000	18.1	0	524
24.3	68	1	2000	18	0	321
24.2	70	0.3	2000	18.3	0	211
24	70	1.2	2000	18.1	0	153
23.9	70	1.5	2000	18	0	264
23.8	71	1.2	2000	18.2	0	656
23.9	71	0.4	2000	18.3	0.02	1287
24.2	70	1.4	2000	18.3	0.16	1580
23.6	86	1.2	336	21.1	0.14	719
23.3	89	0.7	1716	21.3	0.2	434
23.7	86	0.6	1798	21.2	0.31	443
23.9	83	1.1	1901	20.8	0.27	673
24.9	78	1.5	1910	20.7	0.72	731
25.6	77	0.8	1930	21.2	0.78	532
25.7	81	0.7	1825	22.1	0.43	137
25.5	91	1.3	403	23.9	0.23	39
22.7	96	4.9	452	22	0.07	23
21.9	97	1.8	757	21.3	0.02	113
21.7	97	0.2	1154	21.1	0.01	73
21.5	97	0.3	2000	20.9	0	151
21.6	97	0.5	646	21	0	110
21.7	97	0.4	440	21.1	0	379
21.7	97	0.8	838	21.1	0	486
21.4	97	0.1	404	20.8	0	500
21.3	97	1.1	570	20.7	0	486
20.9	96	0.4	970	20.2	0	324
20.6	97	0.2	500	20.1	0	223
20.4	97	2.7	704	19.9	0	186
20.2	97	1.2	528	19.7	0	219
20	97	0	647	19.5	0	602
20.1	97	1.9	443	19.6	0.03	1289
20.5	90	1.9	490	18.7	0.53	2059
21.6	81	2.3	1669	18.1	1.2	1083
23.1	73	3.1	2000	17.9	2.24	822
24.5	64	2.7	2000	17.2	2.7	940
25.8	57	2.8	2000	16.6	3.02	995
26.5	58	2.8	2000	17.5	2.87	997
27.4	52	3.8	1998	16.6	2.67	987
26.7	51	3.4	2000	15.7	2.09	1178
27.1	47	4.3	2000	14.8	1.82	1429
27.6	47	3.3	2000	15.2	1.49	1993
26.8	53	2.6	2000	16.4	0.8	3166
25.1	49	3.1	2000	13.6	0.18	2491
23.7	49	3.3	2000	12.3	0	2259
22.9	55	3	2000	13.3	0	2212
22.2	58	1.5	2000	13.5	0	1856
21.7	60	0.5	2000	13.5	0	1233
21.1	64	1.5	2000	14	0	983
20.9	66	1.1	2000	14.3	0	748
20.6	72	0.9	2000	15.3	0	493
20.2	77	0.4	2000	16	0	376
19.9	81	0.2	2000	16.5	0	220
19.7	82	0.5	2000	16.5	0	249
19.8	82	0.5	2000	16.6	0	676
19.8	79	0.9	2000	16	0.13	1487
21.2	69	1.9	2000	15.2	0.74	2312
23.4	59	3	1974	14.9	1.46	1195
25.4	49	3.9	1996	13.9	2.13	847
26.4	47	2.9	2000	14.1	2.38	937
27.1	44	5	2000	13.7	2.8	1072
27.3	46	4.8	1983	14.6	2.92	1039
27.9	42	5	1914	13.7	2.79	989
28.1	43	5.1	1929	14.3	2.65	1131
28.2	37	4	1987	12.1	2.03	1446
27.7	40	5	2000	12.8	1.51	2068
27	45	2.4	2000	14	0.77	3160
25.4	55	3.2	2000	15.6	0.15	2468
24.5	64	2	2000	17.2	0	2177
23.9	75	2.3	1975	19.1	0	2024
23.6	82	1.8	1673	20.3	0	1798
23	83	1.8	1469	19.9	0	1219
22.5	83	0.5	1593	19.4	0	963
21.9	85	0.2	1410	19.2	0	743
21.6	86	0.2	1353	19.1	0	531
21.5	85	0.1	1282	18.8	0	320
21.6	87	0.4	951	19.3	0	215
21.7	87	0.6	846	19.4	0	247
21.4	84	0.8	1506	18.5	0	680
20.9	83	0.4	1388	17.8	0.09	1438
21.8	77	0.9	1419	17.5	0.43	2270
23.5	72	0.5	1485	18.1	0.95	1186
24.6	70	1.2	1454	18.7	0.96	835
25.9	63	2.5	1693	18.3	1.32	941
26.9	60	2.3	1592	18.4	1.67	1041
28	52	2.3	1642	17.2	1.85	1049
27.9	47	3.2	1869	15.5	1.65	1032
27.8	48	3	1880	15.7	0.93	1089
26.9	55	3.9	1909	17	0.54	1292
26.6	63	3	2000	18.9	0.43	1525
25.8	58	2.9	2000	16.9	0.16	2497
25.3	71	3.3	2000	19.6	0.05	1990
25.1	71	3.6	2000	19.4	0	1900
24.6	70	2.5	2000	18.7	0	1851
24.3	71	2.5	1992	18.6	0	1641
23.9	71	4.7	1982	18.3	0	562
21.3	82	3.5	1933	18	0	556
21.6	77	2.6	1777	17.3	0	345
21.3	76	2.2	1559	16.8	0	259
21.1	75	1.8	1551	16.4	0	259
20.8	66	1.5	1719	14.2	0	185
20.5	67	1.2	1649	14.1	0	247
20.2	70	1.6	1690	14.5	0	624
20.3	74	1.8	1372	15.5	0.07	1346
20.5	78	2.5	1250	16.5	0.32	2260
21.3	63	2.7	1969	13.9	1.15	1194
22.6	58	1.8	1962	13.9	2.02	896
23.8	51	3.5	1970	13	2.62	988
24.2	50	3.8	2000	13.1	2.85	1213
24.3	50	2.9	2000	13.2	2.37	1119
25.2	43	3.2	1981	11.7	2.59	1187
24.7	44	4.2	2000	11.6	1.92	1391
25.2	39	2.8	1987	10.2	1.65	1577
24.5	37	3.2	2000	8.8	1.04	2183
24.4	34	2.4	2000	7.5	0.84	3154
22.6	39	2.8	2000	7.9	0.14	2365
21.6	43	1.4	2000	8.4	0	1959
20.6	48	2.1	2000	9.1	0	1915
19.8	51	1.2	2000	9.3	0	1796
19.4	50	2.8	2000	8.6	0	1363
19.2	53	3.7	2000	9.3	0	1107
18.9	55	2.3	2000	9.6	0	1001
18.5	57	2.3	2000	9.8	0	692
17.8	60	0.2	2000	9.9	0	504
17.2	66	0.6	2000	10.7	0	285
16.7	70	0.8	2000	11.1	0	227
16.2	70	0.3	2000	10.7	0	322
16	70	1.1	2000	10.5	0.11	511
17.1	57	1	1979	8.5	0.76	827
19.9	51	0.6	1906	9.4	1.46	956
22.2	43	0.9	1891	9	2.09	1096
24.2	41	1.5	1818	10.1	2.62	1179
25.2	36	2.4	1995	9	2.93	1273
26.1	32	3	1985	8.1	3.06	1505
26.8	31	2.8	2000	8.2	2.96	1554
26.9	33	2.9	1997	9.2	2.65	1792
27.7	32	1.4	2000	9.4	2.05	1943
27.2	35	1.7	2000	10.3	1.32	2167
25.7	38	1.5	2000	10.3	0.64	2255
24	41	1.9	2000	9.9	0.1	1978
22.8	45	2	2000	10.2	0	1944
22.1	49	1.7	2000	10.8	0	1878
21.5	51	2	2000	10.9	0	1675
20.7	52	1.4	2000	10.4	0	1142
19.6	53	1.5	2000	9.7	0	1185
18.8	54	0.1	2000	9.2	0	835
18.1	57	0.3	2000	9.4	0	589
17.4	57	0.6	2000	8.7	0	395
17	59	0	2000	8.9	0	264
16.3	66	0.5	2000	9.9	0	165
15.8	69	0.9	2000	10.1	0	255
15.7	68	0.9	2000	9.8	0.05	366
17.4	56	0.8	2000	8.5	0.49	644
20.4	51	1.8	2000	9.9	1.43	803
22.9	45	1.5	2000	10.3	2.1	928
24.4	41	1.3	1982	10.2	2.61	1051
25.9	39	1.2	1950	10.8	2.89	1220
27.2	32	1.7	2000	9	3.12	1432
28.2	29	2	2000	8.4	3.09	1662
28.9	27	1.8	2000	8	2.9	1877
27.1	35	0.9	2000	10.3	1.27	2099
27.7	33	1.1	2000	9.9	1.21	2201
26	35	0.3	2000	9.3	0.2	2368
24.1	56	2.5	2000	14.7	0.04	2033
22.9	58	2.6	2000	14.1	0	1930
22.2	57	1.2	2000	13.2	0	1820
21.8	54	1.6	2000	12	0	1291
21.2	56	2.5	2000	12	0	941
20.7	57	1.8	2000	11.8	0	792
20.5	58	1.7	2000	11.9	0	487
20	59	1.5	2000	11.7	0	332
19.7	60	1.9	2000	11.7	0	176
19.4	61	1.6	2000	11.6	0	188
19.1	62	1.6	2000	11.6	0	226
18.7	64	0.9	2000	11.7	0	691
18.9	63	1.8	2000	11.6	0.09	1463
20.1	57	1.6	2000	11.3	0.73	2278
22.3	52	1.9	2000	11.9	1.43	1125
24	47	1.6	1996	11.9	2.08	862
25.3	44	1.2	1948	12.1	2.59	934
26.7	40	1.4	2000	11.9	2.92	1095
27.1	38	1.7	2000	11.5	2.56	1057
27.8	37	1.4	1983	11.7	2.67	1064
27.6	38	1.4	2000	11.9	2.09	1249
27.5	39	1.5	2000	12.3	1.46	1467
26.6	40	1.4	2000	11.8	0.69	2147
25.9	42	1.1	2000	11.9	0.48	3298
24.4	47	2	2000	12.3	0.05	2518
23.4	48	1.8	2000	11.7	0	2240
22.5	48	1.4	2000	10.9	0	2090
21.7	50	1.6	2000	10.8	0	1779
20.8	51	1.7	2000	10.2	0	1223
20.1	52	1.5	2000	9.9	0	910
19.5	52	1.3	2000	9.3	0	662
18.9	52	1.1	2000	8.8	0	435
18.2	52	1.5	2000	8.1	0	261
17.7	52	1.5	2000	7.7	0	193
17.2	54	1.3	2000	7.7	0	258
17	55	1.2	2000	7.8	0	678
16.9	55	1.4	2000	7.7	0.07	1556
17.8	53	1.4	2000	8	0.51	2369
19.8	49	1.9	2000	8.7	1.24	1234
21.9	43	1.1	2000	8.7	1.89	922
23.7	40	2	2000	9.2	2.6	1012
24.5	40	1.3	1973	10	2.64	1192
25.7	40	2.2	1997	11	2.98	1102
25.8	37	1.5	1995	9.9	2.22	1115
26	40	1.9	2000	11.3	1.53	1222
25.5	44	1.4	2000	12.3	1	1527
25.4	44	1.2	2000	12.2	0.84	2171
24.7	45	0.7	2000	11.9	0.3	3222
23.7	49	1.8	2000	12.3	0.03	2455
22.9	48	1.2	2000	11.2	0	2072
22.2	50	1.3	2000	11.2	0	2018
21.6	52	1.9	2000	11.3	0	1868
20.9	53	1.8	2000	10.9	0	1240
20.2	54	1.2	2000	10.5	0	949
19.6	56	1.2	2000	10.5	0	691
19	56	0.9	2000	10	0	462
18.4	57	1.3	2000	9.7	0	297
18	59	1.5	2000	9.8	0	215
17.5	60	1.6	2000	9.6	0	241
17	63	1.3	2000	9.8	0	656
16.8	61	1.3	2000	9.2	0.06	1551
18.2	56	1.5	1994	9.2	0.62	2391
20.8	48	1.1	2000	9.3	1.38	1234
22.7	45	1.5	2000	10.1	2.08	923
24.8	44	2.1	1955	11.7	2.55	1017
26.3	44	1.2	1966	13	2.91	1165
26.8	45	1.8	1984	13.8	2.6	1066
26.9	45	1.6	2000	13.9	2.27	1087
27.7	41	1.6	1969	13.2	1.98	1251
27.8	42	1.7	1974	13.7	1.98	1494
27.8	41	1.9	1999	13.3	1.27	2129
27	44	1.4	2000	13.6	0.62	3256
25.4	50	0.6	2000	14.2	0.07	2443
24	56	0.5	1890	14.6	0	2146
23.2	57	1.1	2000	14.2	0	2012
22.6	60	1	2000	14.4	0	1824
22.2	62	0.8	2000	14.5	0	1309
21.9	62	1	1822	14.2	0	968
21.5	65	1	2000	14.6	0	736
21.2	66	0.8	2000	14.5	0	437
20.9	68	1.7	2000	14.7	0	304
20.7	69	1.3	2000	14.8	0	240
20.5	70	1.2	2000	14.8	0	248
20.3	71	1.6	2000	14.8	0	655
20.5	69	1.4	2000	14.6	0.03	1448
20.9	68	1.3	2000	14.7	0.18	2329
21.8	64	1.6	2000	14.6	0.52	1322
22.7	61	0.9	2000	14.7	0.82	915
23.5	61	1.2	2000	15.5	0.95	972
24.3	59	1.5	2000	15.7	1.12	1119
25.1	56	2	1964	15.6	1.41	1014
27.2	49	1.5	1945	15.5	2.54	1097
27.8	49	1.4	1963	16.1	1.97	1200
28.2	48	1.4	1995	16.1	1.7	1436
27.9	51	1.4	2000	16.8	1.19	2021
26.7	56	1.8	2000	17.1	0.47	3146
25.4	61	0.6	2000	17.3	0.03	2365
24.6	62	0.9	2000	16.8	0	2003
23.8	67	0.6	2000	17.2	0	2000
22.8	70	1	2000	17	0	1713
22.4	73	0.3	1980	17.3	0	1303
22.1	74	1.1	1962	17.2	0	971
21.6	75	1.1	1671	16.9	0	775
21.3	75	1.1	2000	16.6	0	482
21	76	0.7	1995	16.6	0	349
20.7	76	1	2000	16.3	0	223
20.7	77	0.9	2000	16.5	0	249
20.4	78	1	2000	16.4	0	644
20.5	76	1.3	2000	16.1	0.06	1456
21.4	70	1.5	1986	15.6	0.38	2253
22.3	69	1.3	2000	16.3	0.61	1201
23.3	65	1.4	1996	16.3	0.76	936
24	64	1.3	2000	16.7	0.95	982
25.3	56	1.2	1960	15.8	1.35	1088
26.4	57	1.2	2000	17.1	1.8	1155
26.3	58	1.5	1986	17.3	1.37	1199
26.6	55	1.8	2000	16.8	1.1	1347
26.3	57	1.6	2000	17	0.72	1503
25.9	56	1.7	2000	16.4	0.42	2059
25.7	57	1.5	2000	16.5	0.24	2826
25.3	60	1.2	2000	16.9	0.04	1996
25	61	1.1	2000	16.9	0	1869
24.7	61	1.6	2000	16.6	0	1259
24	73	2.1	1541	18.8	0	567
22.3	87	1.1	1810	20	0	810
21.8	83	1.5	2000	18.7	0	906
21.8	79	1.4	2000	17.9	0	881
21.7	78	1	2000	17.6	0	580
21.6	80	1.2	2000	17.9	0	302
21.2	83	0.6	2000	18.1	0	234
21.1	82	0.8	2000	17.8	0	169
21	84	0.9	2000	18.1	0	272
21.2	84	0.3	2000	18.3	0.05	453
21.7	78	0.3	2000	17.6	0.21	829
22.7	72	1.2	2000	17.3	0.59	934
24.4	65	1.6	1972	17.3	1.42	1017
25.2	64	1.2	1938	17.8	1.31	1212
25.4	63	0.9	2000	17.8	1.01	1284
25.8	65	1	1996	18.7	1.12	1465
25.7	67	1.2	2000	19.1	0.9	1474
25.2	71	0.2	2000	19.5	0.41	1077
24.4	74	0.6	1996	19.4	0.13	1273
24.4	75	0.6	2000	19.6	0.17	1474
24.2	76	1.2	2000	19.6	0.12	1566
23.8	78	2.2	1991	19.7	0	1578
23.5	80	1.7	1621	19.8	0	1613
23.3	80	0.7	1877	19.6	0	1710
23.1	79	0.6	1891	19.2	0	1566
22.9	81	0.9	1550	19.4	0	1210
22.8	82	1.5	935	19.5	0	1014
22.8	84	0.9	827	19.9	0	764
22.8	85	0.8	708	20.1	0	432
22.6	89	0.6	578	20.6	0	258
22.5	89	0.7	444	20.5	0	188
22.2	90	1.4	514	20.4	0	123
22	90	1.3	471	20.2	0	137
21.9	95	1.3	424	21	0.02	258
21.9	88	1.6	601	19.8	0.17	464
22.3	84	1.9	751	19.4	0.47	725
22.9	74	1.3	1162	18	0.84	813
23.4	61	2.1	1964	15.4	0.91	1014
23.7	64	1.9	1474	16.4	0.79	989
23.6	66	2.1	1689	16.8	0.87	754
23.4	72	2.2	682	18	0.73	409
23.2	83	1.5	349	20.1	0.77	222
22.5	86	2.5	342	20	0.47	142
22	89	2.2	285	20	0.21	322
21.5	89	3	350	19.6	0.18	520
21.2	87	2.7	479	18.9	0.01	852
21.1	88	1.7	404	19	0	1073
21.2	88	1.7	373	19.1	0	1146
21.4	87	2.4	540	19.1	0	988
21.3	80	2.6	1203	17.7	0	571
21	82	1.8	958	17.8	0	531
20.5	73	1.9	1693	15.4	0	337
20.3	81	1.9	1234	16.9	0	227
20.2	82	1.4	1202	17	0	186
20	81	2	1313	16.6	0	160
19.4	84	1.6	1252	16.6	0	246
18.8	88	1.2	798	16.7	0	625
18.5	88	1.4	695	16.4	0.08	1487
18.9	77	0.6	1109	14.7	0.56	2276
20.5	66	1.1	1711	13.9	1.12	1185
21.7	60	1.7	1540	13.5	1.44	868
23.8	54	2.1	1626	13.9	2.55	954
25.2	50	1.7	1710	14	2.83	1083
25.6	50	3.8	1876	14.3	2.82	1069
26.7	40	3.3	1822	11.9	2.8	1092
27.4	33	2.7	1955	9.6	2.5	1207
27.6	37	2.8	1935	11.5	1.9	1445
27.3	43	2.6	2000	13.6	1.25	2056
25.3	56	2.8	1992	15.8	0.54	3277
23	63	3.1	2000	15.5	0.03	2489
21.9	65	2.5	1986	15	0	2232
21.3	66	2.3	1989	14.6	0	2100
20.8	65	0.9	2000	13.9	0	1865
20.2	68	1.2	1963	14	0	1293
20.1	58	0.3	2000	11.5	0	886
20	59	1.1	1999	11.7	0	761
19.9	64	1.5	1755	12.8	0	524
19.6	72	1.7	1140	14.4	0	294
19.6	74	1.4	847	14.8	0	241
19.5	74	1.8	1421	14.7	0	137
18.8	85	1.4	412	16.2	0	47
18	95	1.6	375	17.1	0	130
18	91	1.3	896	16.5	0.11	299
18.2	93	1.4	572	17	0.18	89
18.4	91	1.2	394	16.8	0.25	87
18.8	95	1.5	597	17.9	0.46	111
19	91	1.7	965	17.4	0.67	180
18.9	89	2.6	586	17	0.58	301
19.3	83	2.3	2000	16.3	0.83	573
19.4	79	1.4	2000	15.6	0.33	696
19.5	75	2.1	2000	14.9	0.38	912
19.3	76	2.1	2000	14.9	0.21	1290
19.1	77	2.5	2000	14.9	0.08	1786
18.9	78	2.2	2000	14.9	0	1272
19.1	77	2.2	1834	14.9	0	898
18.7	84	2.7	1744	15.9	0	784
18.4	85	2.1	1772	15.8	0	1049
18.7	80	1.7	2000	15.1	0	935
18.9	78	2.1	2000	14.9	0	809
19	78	1.6	2000	15	0	674
19.1	78	1.3	2000	15.1	0	122
18.5	88	1.2	659	16.4	0	28
17.9	95	1.7	1298	17	0	24
17.8	93	1.8	2000	16.6	0	24
17.6	95	1.7	974	16.7	0	23
17.6	96	1.7	310	16.9	0	45
17.8	97	2	1284	17.3	0.09	127
18.2	96	1.3	1251	17.5	0.21	47
18.4	96	2	1124	17.7	0.32	78
18.9	91	1.8	1938	17.3	0.64	98
19.1	91	2	1971	17.5	0.63	143
19.8	88	0.9	1796	17.7	0.65	600
21.4	76	1.4	2000	16.9	1.5	972
21.8	76	1.4	2000	17.3	1.2	1288
21.5	78	1.2	2000	17.4	0.51	1550
21.2	77	1.2	2000	16.9	0.31	1904
20.9	77	0.6	2000	16.7	0.23	2235
20.3	81	1	2000	16.9	0.02	1720
20	82	0.4	2000	16.8	0	1551
19.9	82	0.6	2000	16.7	0	1540
19.7	82	0.5	2000	16.5	0	1493
19.5	82	0.6	2000	16.3	0	1171
19.5	81	1.1	2000	16.1	0	953
19.5	83	1.5	1459	16.5	0	875
19.4	85	0	1533	16.8	0	655
18.8	90	1	1191	17.1	0	458
18.9	88	0.8	1226	16.8	0	96
18.8	96	0.2	973	18.1	0	93
18.4	95	0.1	752	17.5	0	215
18.1	96	0.9	557	17.4	0.04	363
18.2	86	0	858	15.8	0.48	654
19.7	78	1.3	740	15.7	1.17	810
21.8	67	1.9	878	15.3	1.88	925
22.7	55	2.7	1297	13.1	1.86	1062
24.2	43	2.2	1798	10.8	2.31	1273
24.9	32	3.9	2000	7	2.57	1409
25.2	28	4.4	2000	5.3	2.76	1532
25.4	32	3.8	1980	7.4	2.42	1814
25.3	38	3	2000	9.9	1.88	1840
24.6	35	3.6	1990	8.1	1.2	2045
23.2	36	2.8	2000	7.2	0.47	1939
21.3	43	2.8	2000	8.2	0.02	1743
20.4	52	1.2	2000	10.2	0	1604
19.4	55	0.8	2000	10.1	0	1502
18.6	62	0.6	2000	11.1	0	1430
17.9	66	1	2000	11.4	0	1108
17.2	69	0.6	2000	11.4	0	880
16.4	66	0.1	2000	10	0	644
16	72	1.3	2000	10.9	0	489
15.8	70	0.8	2000	10.3	0	334
16.2	69	0.7	2000	10.4	0	202
16.3	67	0.8	2000	10.1	0	106
16.5	73	1.2	2000	11.6	0	144
16.5	74	0.4	2000	11.8	0	261
17	69	1.2	2000	11.2	0.3	439
18.4	59	1	1951	10.2	0.86	534
19.3	59	0.2	2000	11	0.94	620
20.1	57	3	1929	11.3	1.29	764
20.8	52	1.2	1984	10.5	1.25	915
22.7	44	1.4	1913	9.8	1.77	1031
24.2	40	1.2	1953	9.7	2.62	1136
25	28	2.2	2000	5.2	2.39	1366
24.6	29	4	1988	5.3	1.73	1502
24.1	41	2.4	2000	10	1.17	1591
22.3	53	2.7	2000	12.2	0.44	1492
21	54	2.9	2000	11.3	0.01	1333
20.2	48	3.3	2000	8.8	0	1287
19.1	38	2.1	2000	4.4	0	1148
18.5	40	2.5	2000	4.6	0	1074
17.7	45	1.1	2000	5.6	0	768
17.2	50	1.7	2000	6.6	0	620
16.8	53	2	2000	7.1	0	426
16.1	57	0.7	2000	7.5	0	302
15.5	63	0.3	2000	8.4	0	216
14.9	68	0.9	2000	9	0	141
14.4	66	0.3	2000	8.1	0	105
14.3	66	0.5	2000	8	0	141
14.7	61	2.1	2000	7.2	0.02	205
15.4	52	2.2	1985	5.5	0.49	296
17	43	2.1	1993	4.3	1.36	310
18.5	38	3.3	2000	3.8	2.02	426
19.4	31	4.1	1966	1.8	2.55	588
20.3	34	2.6	2000	3.9	2.85	754
